sku,rank,handle
KCUP3122,6,eclipse-plus-ii-operator-chair
KCUP3123,6,eclipse-plus-ii-operator-chair
KCUP3124,6,eclipse-plus-ii-operator-chair
KCUP3125,6,eclipse-plus-ii-operator-chair
KCUP3126,6,eclipse-plus-ii-operator-chair
KCUP3127,6,eclipse-plus-ii-operator-chair
KCUP3128,6,eclipse-plus-ii-operator-chair
KCUP3129,6,eclipse-plus-ii-operator-chair
KCUP3130,6,eclipse-plus-ii-operator-chair
KCUP3131,6,eclipse-plus-ii-operator-chair
KCUP3132,6,eclipse-plus-ii-operator-chair
KCUP3133,6,eclipse-plus-ii-operator-chair
KCUP3134,6,eclipse-plus-ii-operator-chair
KCUP3135,6,eclipse-plus-ii-operator-chair
KCUP3136,6,eclipse-plus-ii-operator-chair
I000064,7,impulse-mobile-pedestal
I000065,7,impulse-mobile-pedestal
I003223,7,impulse-mobile-pedestal
I003224,7,impulse-mobile-pedestal
I000244,7,impulse-mobile-pedestal
I000245,7,impulse-mobile-pedestal
I000772,7,impulse-mobile-pedestal
I000773,7,impulse-mobile-pedestal
I000124,7,impulse-mobile-pedestal
I000125,7,impulse-mobile-pedestal
I000184,7,impulse-mobile-pedestal
I000185,7,impulse-mobile-pedestal
I004298,7,impulse-mobile-pedestal
I005201,7,impulse-mobile-pedestal
OP000321,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2032,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2033,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2034,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2035,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2036,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2037,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2038,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP2039,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3881,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3882,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3883,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3884,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3885,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3886,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3887,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3888,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3889,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3890,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3891,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
KCUP3892,8,iris-task-operator-mesh-back-fabric-seat-with-headrest
OP000232,9,esme-posture-chair
OP000233,9,esme-posture-chair
KC0001,10,chiro-high-back-operator-chair
KC0002,10,chiro-high-back-operator-chair
KCUP0097,10,chiro-high-back-operator-chair
